2015-06-13 20:46:41 INFO  App:19 - Hello
2015-06-13 20:46:41 INFO  GoeuroService:23 - Start hitting query
2015-06-13 20:46:41 INFO  GoeuroService:28 - Call URL: http://api.goeuro.com/api/v2/position/suggest/en/hel
2015-06-13 20:46:41 INFO  GoeuroService:30 - Response: [{_id=378980, key=null, name=Helsinki, fullName=Helsinki, Finland, iata_airport_code=null, type=location, country=Finland, geo_position={latitude=60.16952, longitude=24.93545}, locationId=11167, inEurope=true, countryCode=FI, coreCountry=false, distance=null}, {_id=406000, key=null, name=Helsingborg, fullName=Helsingborg, Sweden, iata_airport_code=null, type=location, country=Sweden, geo_position={latitude=56.04673, longitude=12.69437}, locationId=38234, inEurope=true, countryCode=SE, coreCountry=false, distance=null}, {_id=393268, key=null, name=Helmond, fullName=Helmond, Netherlands, iata_airport_code=null, type=location, country=Netherlands, geo_position={latitude=51.48167, longitude=5.66111}, locationId=25480, inEurope=true, countryCode=NL, coreCountry=true, distance=null}, {_id=393266, key=null, name=Hellendoorn, fullName=Hellendoorn, Netherlands, iata_airport_code=null, type=location, country=Netherlands, geo_position={latitude=52.3833333, longitude=6.45}, locationId=25478, inEurope=true, countryCode=NL, coreCountry=true, distance=null}, {_id=314920, key=null, name=Helsinki, fullName=Helsinki (HEL), Finland, iata_airport_code=HEL, type=airport, country=Finland, geo_position={latitude=60.31722, longitude=24.96333}, locationId=null, inEurope=true, countryCode=FI, coreCountry=false, distance=null}]
2015-06-13 20:47:35 INFO  App:19 - Hello
2015-06-13 20:47:35 INFO  GoeuroService:23 - Start hitting query
2015-06-13 20:47:35 INFO  GoeuroService:28 - Call URL: http://api.goeuro.com/api/v2/position/suggest/en/hel
2015-06-13 20:47:36 INFO  GoeuroService:30 - Response: [{_id=378980, key=null, name=Helsinki, fullName=Helsinki, Finland, iata_airport_code=null, type=location, country=Finland, geo_position={latitude=60.16952, longitude=24.93545}, locationId=11167, inEurope=true, countryCode=FI, coreCountry=false, distance=null}, {_id=406000, key=null, name=Helsingborg, fullName=Helsingborg, Sweden, iata_airport_code=null, type=location, country=Sweden, geo_position={latitude=56.04673, longitude=12.69437}, locationId=38234, inEurope=true, countryCode=SE, coreCountry=false, distance=null}, {_id=393268, key=null, name=Helmond, fullName=Helmond, Netherlands, iata_airport_code=null, type=location, country=Netherlands, geo_position={latitude=51.48167, longitude=5.66111}, locationId=25480, inEurope=true, countryCode=NL, coreCountry=true, distance=null}, {_id=393266, key=null, name=Hellendoorn, fullName=Hellendoorn, Netherlands, iata_airport_code=null, type=location, country=Netherlands, geo_position={latitude=52.3833333, longitude=6.45}, locationId=25478, inEurope=true, countryCode=NL, coreCountry=true, distance=null}, {_id=314920, key=null, name=Helsinki, fullName=Helsinki (HEL), Finland, iata_airport_code=HEL, type=airport, country=Finland, geo_position={latitude=60.31722, longitude=24.96333}, locationId=null, inEurope=true, countryCode=FI, coreCountry=false, distance=null}]
2015-06-13 20:49:09 INFO  App:19 - Hello
2015-06-13 20:49:09 INFO  GoeuroService:24 - Start hitting query
2015-06-13 20:49:10 INFO  GoeuroService:29 - Call URL: http://api.goeuro.com/api/v2/position/suggest/en/hel
2015-06-13 20:49:10 INFO  GoeuroService:31 - Response: [378980,Helsinki,location,0.0,0.0, 406000,Helsingborg,location,0.0,0.0, 393268,Helmond,location,0.0,0.0, 393266,Hellendoorn,location,0.0,0.0, 314920,Helsinki,airport,0.0,0.0]
2015-06-13 20:49:57 INFO  App:20 - Hello
2015-06-13 20:49:57 INFO  GoeuroService:24 - Start hitting query
2015-06-13 20:49:57 INFO  GoeuroService:29 - Call URL: http://api.goeuro.com/api/v2/position/suggest/en/hel
2015-06-13 20:49:57 INFO  GoeuroService:31 - Response: [378980,Helsinki,location,0.0,0.0, 406000,Helsingborg,location,0.0,0.0, 393268,Helmond,location,0.0,0.0, 393266,Hellendoorn,location,0.0,0.0, 314920,Helsinki,airport,0.0,0.0]
2015-06-13 20:50:19 INFO  App:19 - Hello
2015-06-13 20:50:19 INFO  GoeuroService:24 - Start hitting query
2015-06-13 20:50:19 INFO  GoeuroService:29 - Call URL: http://api.goeuro.com/api/v2/position/suggest/en/hel
2015-06-13 20:50:19 INFO  GoeuroService:31 - Response: [378980,Helsinki,location,0.0,0.0, 406000,Helsingborg,location,0.0,0.0, 393268,Helmond,location,0.0,0.0, 393266,Hellendoorn,location,0.0,0.0, 314920,Helsinki,airport,0.0,0.0]
2015-06-13 20:56:00 INFO  App:19 - Hello
2015-06-13 20:56:00 INFO  GoeuroService:24 - Start hitting query
2015-06-13 20:56:00 INFO  GoeuroService:29 - Call URL: http://api.goeuro.com/api/v2/position/suggest/en/hel
2015-06-13 20:56:02 ERROR App:28 - Error encountered: No suitable constructor found for type [simple type, class com.azouz.goeuro.model.CityLocation$GEOPosition]: can not instantiate from JSON object (need to add/enable type information?)
 at [Source: http://api.goeuro.com/api/v2/position/suggest/en/hel; line: 1, column: 155] (through reference chain: java.util.ArrayList[0]->com.azouz.goeuro.model.CityLocation["geo_position"])
2015-06-13 20:59:03 INFO  App:19 - Hello
2015-06-13 20:59:03 INFO  GoeuroService:24 - Start hitting query
2015-06-13 20:59:03 INFO  GoeuroService:29 - Call URL: http://api.goeuro.com/api/v2/position/suggest/en/hel
2015-06-13 20:59:04 INFO  GoeuroService:31 - Response: [378980,Helsinki,location,60.16952,24.93545, 406000,Helsingborg,location,56.04673,12.69437, 393268,Helmond,location,51.48167,5.66111, 393266,Hellendoorn,location,52.3833333,6.45, 314920,Helsinki,airport,60.31722,24.96333]
2015-06-13 20:59:04 ERROR App:28 - Error encountered: CSV generator does not support Object values for properties
2015-06-13 21:01:07 INFO  App:19 - Hello
2015-06-13 21:01:07 INFO  GoeuroService:24 - Start hitting query
2015-06-13 21:01:07 INFO  GoeuroService:29 - Call URL: http://api.goeuro.com/api/v2/position/suggest/en/hel
2015-06-13 21:01:08 INFO  GoeuroService:31 - Response: [378980,Helsinki,location,60.16952,24.93545, 406000,Helsingborg,location,56.04673,12.69437, 393268,Helmond,location,51.48167,5.66111, 393266,Hellendoorn,location,52.3833333,6.45, 314920,Helsinki,airport,60.31722,24.96333]
2015-06-13 21:01:08 ERROR App:28 - Error encountered: CSV generator does not support Object values for properties
2015-06-13 21:01:50 INFO  App:19 - Hello
2015-06-13 21:01:50 INFO  GoeuroService:24 - Start hitting query
2015-06-13 21:01:50 INFO  GoeuroService:29 - Call URL: http://api.goeuro.com/api/v2/position/suggest/en/hel
2015-06-13 21:01:51 INFO  GoeuroService:31 - Response: [378980,Helsinki,location,60.16952,24.93545, 406000,Helsingborg,location,56.04673,12.69437, 393268,Helmond,location,51.48167,5.66111, 393266,Hellendoorn,location,52.3833333,6.45, 314920,Helsinki,airport,60.31722,24.96333]
2015-06-13 21:01:51 ERROR App:28 - Error encountered: CSV generator does not support Object values for properties
2015-06-13 21:02:06 INFO  App:19 - Hello
2015-06-13 21:02:06 INFO  GoeuroService:24 - Start hitting query
2015-06-13 21:02:07 INFO  GoeuroService:29 - Call URL: http://api.goeuro.com/api/v2/position/suggest/en/hel
2015-06-13 21:02:08 INFO  GoeuroService:31 - Response: [378980,Helsinki,location,60.16952,24.93545, 406000,Helsingborg,location,56.04673,12.69437, 393268,Helmond,location,51.48167,5.66111, 393266,Hellendoorn,location,52.3833333,6.45, 314920,Helsinki,airport,60.31722,24.96333]
2015-06-13 21:02:08 ERROR App:28 - Error encountered: CSV generator does not support Object values for properties
2015-06-13 21:03:27 INFO  App:19 - Hello
2015-06-13 21:03:27 INFO  GoeuroService:24 - Start hitting query
2015-06-13 21:03:27 INFO  GoeuroService:29 - Call URL: http://api.goeuro.com/api/v2/position/suggest/en/hel
2015-06-13 21:03:28 INFO  GoeuroService:31 - Response: [378980,Helsinki,location,60.16952,24.93545, 406000,Helsingborg,location,56.04673,12.69437, 393268,Helmond,location,51.48167,5.66111, 393266,Hellendoorn,location,52.3833333,6.45, 314920,Helsinki,airport,60.31722,24.96333]
2015-06-13 21:03:28 ERROR App:28 - Error encountered: CSV generator does not support Object values for properties
2015-06-13 21:30:54 INFO  App:17 - Hello
2015-06-13 21:30:54 INFO  GoeuroService:24 - Start hitting query
2015-06-13 21:30:54 INFO  GoeuroService:29 - Call URL: http://api.goeuro.com/api/v2/position/suggest/en/hel
2015-06-13 21:31:04 INFO  GoeuroService:31 - Response: [378980,Helsinki,location,60.16952,24.93545, 406000,Helsingborg,location,56.04673,12.69437, 393268,Helmond,location,51.48167,5.66111, 393266,Hellendoorn,location,52.3833333,6.45, 314920,Helsinki,airport,60.31722,24.96333]
2015-06-13 21:36:07 INFO  App:20 - Hello
2015-06-13 21:36:07 INFO  GoeuroService:24 - Start hitting query
